year,sex,name,n,prop
1950,Female,Marion,1387,7.885507210946698e-4
1950,Female,Jessie,937,5.327123472715974e-4
1950,Female,Kerry,478,2.717572059720636e-4
1950,Female,Jaime,28,1.5918832148991173e-5
1950,Female,Casey,16,9.096475513709242e-6
1950,Male,Kerry,1062,5.835187278192828e-4
1950,Male,Jessie,1019,5.598922633218919e-4
1950,Male,Marion,821,4.5110063610134766e-4
1950,Male,Harley,264,1.4505550296072567e-4
1950,Male,Jaime,154,8.46157100604233e-5
1950,Male,Riley,152,8.351680473496327e-5
1950,Male,Casey,117,6.428596153941252e-5
1950,Male,Quinn,26,1.4285769230980558e-5
1950,Male,Peyton,18,9.890147929140386e-6
1951,Female,Marion,1341,7.261731541203693e-4
1951,Female,Jessie,940,5.090251788763215e-4
1951,Female,Kerry,492,2.6642594468845765e-4
1951,Female,Jaime,28,1.5162452136741492e-5
1951,Female,Casey,18,9.747290659333816e-6
1951,Female,Riley,5,2.7075807387038377e-6
1951,Male,Kerry,1178,6.165641153404083e-4
1951,Male,Jessie,988,5.171182902855038e-4
1951,Male,Marion,856,4.4802961182630686e-4
1951,Male,Harley,257,1.3451356336373934e-4
1951,Male,Jaime,167,8.740764623246875e-5
1951,Male,Casey,154,8.060345820239633e-5
1951,Male,Riley,147,7.693966464774196e-5
1951,Male,Peyton,27,1.4131775139381175e-5
1951,Male,Quinn,27,1.4131775139381175e-5
1952,Female,Marion,1264,6.645129577398148e-4
1952,Female,Jessie,878,4.6158415893635867e-4
1952,Female,Kerry,556,2.9230158584124766e-4
1952,Female,Casey,28,1.472022374740096e-5
1952,Female,Jaime,23,1.2091612363936504e-5
1952,Female,Riley,7,3.68005593685024e-6
1952,Female,Harley,5,2.6286113834644574e-6
1952,Male,Kerry,1169,5.923795364034708e-4
1952,Male,Jessie,1035,5.244763217943475e-4
1952,Male,Marion,783,3.9677773909659335e-4
1952,Male,Harley,272,1.3783339084836959e-4
1952,Male,Jaime,208,1.0540200476640028e-4
1952,Male,Casey,180,9.12132733555387e-5
1952,Male,Riley,163,8.25986864275156e-5
1952,Male,Peyton,20,1.0134808150615411e-5
1952,Male,Quinn,16,8.107846520492328e-6
1953,Female,Marion,1279,6.629986615617325e-4
1953,Female,Jessie,899,4.6601704202032645e-4
1953,Female,Kerry,568,2.944356839461017e-4
1953,Female,Jaime,35,1.8143043905129504e-5
1953,Female,Casey,31,1.6069553173114704e-5
1953,Female,Harley,5,2.5918634150185005e-6
1953,Male,Kerry,1259,6.291533365115821e-4
1953,Male,Jessie,1067,5.332062033819366e-4
1953,Male,Marion,775,3.8728660508060057e-4
1953,Male,Jaime,257,1.2842923549124432e-4
1953,Male,Harley,256,1.2792951083952743e-4
1953,Male,Casey,179,8.945071265732582e-5
1953,Male,Riley,163,8.145511822985535e-5
1953,Male,Quinn,23,1.1493666989488792e-5
1953,Male,Peyton,19,9.494768382621176e-6
1954,Female,Marion,1336,6.711436367947466e-4
1954,Female,Jessie,763,3.8329535544490395e-4
1954,Female,Kerry,582,2.9236945854381924e-4
1954,Female,Jaime,44,2.2103532948329977e-5
1954,Female,Casey,34,1.708000273280044e-5
1954,Male,Kerry,1660,8.027537354645961e-4
1954,Male,Jessie,992,4.7971789492824056e-4
1954,Male,Marion,828,4.0040969455703955e-4
1954,Male,Jaime,294,1.421744567630068e-4
1954,Male,Harley,243,1.1751154079391377e-4
1954,Male,Casey,236,1.1412643468050884e-4
1954,Male,Riley,166,8.027537354645962e-5
1954,Male,Quinn,25,1.208966469073187e-5
1954,Male,Peyton,19,9.188145164956222e-6
1955,Female,Marion,1147,5.722487780468006e-4
1955,Female,Jessie,744,3.7118839657089775e-4
1955,Female,Kerry,615,3.0682911813320173e-4
1955,Female,Jaime,57,2.8437820705028455e-5
1955,Female,Casey,35,1.7461819731157825e-5
1955,Male,Kerry,1601,7.665289691454136e-4
1955,Male,Jessie,964,4.615452381362765e-4
1955,Male,Marion,713,3.4137111492859456e-4
1955,Male,Jaime,375,1.79543012760481e-4
1955,Male,Casey,297,1.4219806610630094e-4
1955,Male,Harley,225,1.077258076562886e-4
1955,Male,Riley,131,6.272035912432804e-5
1955,Male,Quinn,29,1.3884659653477198e-5
1955,Male,Peyton,22,1.0533190081948219e-5
1956,Female,Marion,1103,5.356110968130412e-4
1956,Female,Kerry,741,3.598257685752162e-4
1956,Female,Jessie,683,3.316612684708133e-4
1956,Female,Jaime,80,3.8847586350900534e-5
1956,Female,Casey,62,3.0106879421947915e-5
1956,Male,Kerry,1580,7.367066415502546e-4
1956,Male,Jessie,1050,4.89583527612511e-4
1956,Male,Marion,745,3.4737116959173396e-4
1956,Male,Jaime,398,1.8557547046645653e-4
1956,Male,Casey,352,1.6412704925676557e-4
1956,Male,Harley,235,1.0957345617994293e-4
1956,Male,Riley,133,6.201391349758472e-5
1956,Male,Quinn,42,1.9583341104500438e-5
1956,Male,Peyton,22,1.0257940578547848e-5
1957,Female,Marion,1053,5.020223922010607e-4
1957,Female,Kerry,813,3.876013341495369e-4
1957,Female,Jessie,632,3.0130878620234603e-4
1957,Female,Jaime,68,3.2419299781265074e-5
1957,Female,Casey,58,2.765175569578492e-5
1957,Female,Riley,6,2.860526451288095e-6
1957,Female,Peyton,5,2.3837720427400793e-6
1957,Female,Quinn,5,2.3837720427400793e-6
1957,Male,Kerry,1747,7.985825730723625e-4
1957,Male,Jessie,1064,4.863719849736655e-4
1957,Male,Marion,608,2.779268485563803e-4
1957,Male,Jaime,441,2.015883885088219e-4
1957,Male,Casey,368,1.6821888202096701e-4
1957,Male,Harley,236,1.0787950042648972e-4
1957,Male,Riley,141,6.445343033955529e-5
1957,Male,Quinn,57,2.605564205216065e-5
1957,Male,Peyton,22,1.0056563599079551e-5
1958,Female,Marion,1054,5.104089033908294e-4
1958,Female,Kerry,807,3.907969497499045e-4
1958,Female,Jessie,591,2.861970226792981e-4
1958,Female,Jaime,106,5.133144569205685e-5
1958,Female,Casey,63,3.05083120622602e-5
1958,Male,Kerry,1440,6.687792039391095e-4
1958,Male,Jessie,1017,4.723253127819961e-4
1958,Male,Marion,584,2.7122712159752775e-4
1958,Male,Jaime,580,2.6936940158658575e-4
1958,Male,Casey,373,1.7323239102033877e-4
1958,Male,Harley,176,8.173968048144672e-5
1958,Male,Riley,116,5.3873880317317154e-5
1958,Male,Quinn,45,2.0899350123097172e-5
1958,Male,Peyton,20,9.288600054709854e-6
1959,Female,Marion,920,4.426317924133873e-4
1959,Female,Kerry,790,3.800859956593217e-4
1959,Female,Jessie,584,2.809749638798024e-4
1959,Female,Jaime,128,6.158355372707997e-5
1959,Female,Casey,86,4.1376450160381856e-5
1959,Male,Kerry,1703,7.860844133723899e-4
1959,Male,Jessie,960,4.431245078317641e-4
1959,Male,Jaime,628,2.898772822066123e-4
1959,Male,Marion,543,2.5064229974234155e-4
1959,Male,Casey,396,1.8278885948060268e-4
1959,Male,Harley,178,8.216266916047293e-5
1959,Male,Riley,112,5.1697859247039144e-5
1959,Male,Quinn,56,2.5848929623519572e-5
1959,Male,Peyton,20,9.231760579828419e-6
1960,Female,Kerry,953,4.5818849672825526e-4
1960,Female,Marion,811,3.899169683595121e-4
1960,Female,Jessie,510,2.4520055963421847e-4
1960,Female,Jaime,96,4.615539946055877e-5
1960,Female,Casey,76,3.6539691239609026e-5
1960,Female,Quinn,7,3.36549787733241e-6
1960,Male,Kerry,2173,0.0010031896166873876
1960,Male,Jessie,935,4.316531484595984e-4
1960,Male,Jaime,642,2.9638643990487933e-4
1960,Male,Marion,541,2.497586666488158e-4
1960,Male,Casey,348,1.606580702288131e-4
1960,Male,Harley,172,7.940571287171223e-5
1960,Male,Riley,108,4.985940110549372e-5
1960,Male,Quinn,67,3.093129513025999e-5
1960,Male,Peyton,23,1.0618205790984774e-5
1961,Female,Kerry,1040,5.009091018555311e-4
1961,Female,Marion,749,3.6075088200941615e-4
1961,Female,Jessie,469,2.2589073920215776e-4
1961,Female,Jaime,130,6.261363773194138e-5
1961,Female,Casey,60,2.8898602030126794e-5
1961,Female,Quinn,12,5.779720406025359e-6
1961,Female,Peyton,7,3.3715035701814593e-6
1961,Male,Kerry,2027,9.402062238219592e-4
1961,Male,Jessie,949,4.4018535096548557e-4
1961,Male,Jaime,666,3.08918275809287e-4
1961,Male,Marion,562,2.6067878529252147e-4
1961,Male,Casey,359,1.665190105338349e-4
1961,Male,Harley,166,7.69976483248373e-5
1961,Male,Riley,102,4.731180800682774e-5
1961,Male,Quinn,67,3.107736408291626e-5
1961,Male,Peyton,17,7.885301334471291e-6
1962,Female,Kerry,1089,5.372423925194547e-4
1962,Female,Marion,773,3.8134836493805183e-4
1962,Female,Jessie,446,2.200276465231192e-4
1962,Female,Jaime,123,6.068027022947009e-5
1962,Female,Casey,79,3.897350689535071e-5
1962,Female,Peyton,7,3.4533487122462652e-6
1962,Female,Quinn,6,2.9600131819253703e-6
1962,Male,Kerry,1899,9.032800624828168e-4
1962,Male,Jessie,938,4.4616993081036444e-4
1962,Male,Jaime,663,3.153631813723578e-4
1962,Male,Casey,517,2.4591668894345247e-4
1962,Male,Marion,490,2.3307384445317547e-4
1962,Male,Harley,138,6.564120517252696e-5
1962,Male,Riley,112,5.327402158929725e-5
1962,Male,Quinn,65,3.0917958958074294e-5
1962,Male,Peyton,28,1.3318505397324312e-5
1963,Female,Kerry,1164,5.855454778684937e-4
1963,Female,Marion,737,3.707448601280755e-4
1963,Female,Jessie,401,2.0172142321758245e-4
1963,Female,Jaime,115,5.785028346638898e-5
1963,Female,Casey,65,3.269798630708943e-5
1963,Female,Quinn,21,1.0563964806905814e-5
1963,Female,Peyton,6,3.0182756591159472e-6
1963,Male,Kerry,1722,8.337291367998455e-4
1963,Male,Jessie,905,4.3816775191861797e-4
1963,Male,Jaime,645,3.1228530385360063e-4
1963,Male,Marion,457,2.2126261063735737e-4
1963,Male,Casey,367,1.7768791707638984e-4
1963,Male,Harley,134,6.487787707966277e-5
1963,Male,Quinn,101,4.890048944064134e-5
1963,Male,Riley,99,4.793216291706429e-5
1963,Male,Peyton,22,1.0651591759347619e-5
1964,Female,Kerry,1179,6.023967111898638e-4
1964,Female,Marion,725,3.704305475934277e-4
1964,Female,Jessie,411,2.0999580008399833e-4
1964,Female,Jaime,101,5.1604807319911995e-5
1964,Female,Casey,67,3.423289198449608e-5
1964,Female,Quinn,14,7.153141608700673e-6
1964,Female,Peyton,10,5.109386863357623e-6
1964,Male,Kerry,1568,7.733219702349952e-4
1964,Male,Jessie,907,4.473233590581254e-4
1964,Male,Jaime,694,3.422738822341114e-4
1964,Male,Marion,456,2.2489465460915676e-4
1964,Male,Casey,396,1.953032526868993e-4
1964,Male,Harley,148,7.299212474156843e-5
1964,Male,Quinn,120,5.9182803844514935e-5
1964,Male,Riley,106,5.2278143395988195e-5
1964,Male,Peyton,27,1.3316130865015861e-5
1965,Female,Kerry,921,5.040107434733072e-4
1965,Female,Marion,568,3.108339872886411e-4
1965,Female,Jessie,473,2.5884590842874516e-4
1965,Female,Jaime,111,6.074396582577317e-5
1965,Female,Casey,66,3.611803373424351e-5
1965,Female,Quinn,17,9.30312990124454e-6
1965,Female,Peyton,8,4.377943482938607e-6
1965,Female,Riley,6,3.2834576122039553e-6
1965,Male,Kerry,1475,7.781017377253792e-4
1965,Male,Jessie,875,4.615857766167503e-4
1965,Male,Jaime,680,3.58718089256446e-4
1965,Male,Casey,441,2.3263923141484218e-4
1965,Male,Marion,431,2.2736396539636502e-4
1965,Male,Harley,124,6.541329862911663e-5
1965,Male,Quinn,104,5.4862766592162325e-5
1965,Male,Riley,73,3.850944193488317e-5
1965,Male,Peyton,28,1.477074485173601e-5
1966,Female,Kerry,1032,5.878482872937618e-4
1966,Female,Marion,535,3.047469318819405e-4
1966,Female,Jessie,476,2.711393263099134e-4
1966,Female,Jaime,150,8.544306501362816e-5
1966,Female,Casey,97,5.525318204214622e-5
1966,Female,Peyton,28,1.5949372135877258e-5
1966,Female,Quinn,24,1.3670890402180507e-5
1966,Male,Kerry,1241,6.825570644656172e-4
1966,Male,Jessie,903,4.96655140380703e-4
1966,Male,Jaime,727,3.998541384903334e-4
1966,Male,Casey,562,3.091031992181119e-4
1966,Male,Marion,349,1.9195198670306237e-4
1966,Male,Harley,140,7.700079695824851e-5
1966,Male,Quinn,110,6.0500626181480976e-5
1966,Male,Riley,93,5.115052940797937e-5
1966,Male,Peyton,17,9.350096773501605e-6
1967,Female,Kerry,1257,7.322384126329476e-4
1967,Female,Marion,463,2.6971072796265293e-4
1967,Female,Jessie,373,2.17283156652418e-4
1967,Female,Jaime,147,8.563169980671702e-5
1967,Female,Casey,114,6.640825699296421e-5
1967,Female,Peyton,23,1.3398157112615589e-5
1967,Female,Quinn,17,9.9029856919332615e-06
1967,Male,Kerry,1124,6.31460319404315e-4
1967,Male,Jessie,798,4.483143548795759e-4
1967,Male,Jaime,715,4.016851675926025e-4
1967,Male,Casey,503,2.8258411090780286e-4
1967,Male,Marion,344,1.9325831839420315e-4
1967,Male,Quinn,136,7.640445145817334e-5
1967,Male,Harley,125,7.022467964905638e-5
1967,Male,Riley,73,4.1011212915048925e-5
1967,Male,Peyton,22,1.2359543618233922e-5
1968,Female,Kerry,1738,0.0010166834358986358
1968,Female,Marion,436,2.550483187869996e-4
1968,Female,Jessie,319,1.8660645342443317e-4
1968,Female,Casey,145,8.482111519292416e-5
1968,Female,Jaime,142,8.306619556824298e-5
1968,Female,Quinn,22,1.286941058099539e-5
1968,Female,Peyton,15,8.774598123405948e-6
1968,Female,Harley,5,2.924866041135316e-6
1968,Female,Riley,5,2.924866041135316e-6
1968,Male,Kerry,1085,6.107779509722628e-4
1968,Male,Jaime,791,4.452768287733271e-4
1968,Male,Jessie,716,4.0305715474298634e-4
1968,Male,Casey,552,3.107368008633079e-4
1968,Male,Marion,367,2.0659493825513406e-4
1968,Male,Harley,123,6.924026540975882e-5
1968,Male,Quinn,115,6.473683351318914e-5
1968,Male,Riley,94,5.291532478469374e-5
1968,Male,Peyton,24,1.3510295689709039e-5
1969,Female,Kerry,1853,0.0010512163020786058
1969,Female,Marion,413,2.3429699555232823e-4
1969,Female,Jessie,325,1.8437414904238903e-4
1969,Female,Casey,191,1.083552691295271e-4
1969,Female,Jaime,168,9.530725242806571e-5
1969,Female,Quinn,24,1.3615321775437959e-5
1969,Female,Peyton,13,7.374965961695562e-6
1969,Male,Kerry,977,5.337467822225719e-4
1969,Male,Jaime,798,4.3595694187677827e-4
1969,Male,Jessie,773,4.2229914294580147e-4
1969,Male,Casey,682,3.725847548370461e-4
1969,Male,Marion,341,1.8629237741852304e-4
1969,Male,Quinn,115,6.28258750824931e-5
1969,Male,Harley,113,6.173325116801496e-5
1969,Male,Riley,79,4.3158644621886566e-5
1969,Male,Peyton,27,1.4750422845454903e-5
1970,Female,Kerry,1833,0.001000569882682772
1970,Female,Marion,383,2.090661566107483e-4
1970,Female,Jessie,335,1.8286465395457097e-4
1970,Female,Casey,244,1.331909718355681e-4
1970,Female,Jaime,220,1.2009022050747943e-4
1970,Female,Peyton,25,1.3646615966759027e-5
1970,Female,Quinn,22,1.2009022050747944e-5
1970,Female,Harley,6,3.2751878320221663e-6
1970,Male,Kerry,967,5.073444270549417e-4
1970,Male,Jaime,935,4.905553663871463e-4
1970,Male,Casey,898,4.7114301499000786e-4
1970,Male,Jessie,729,3.824757883382135e-4
1970,Male,Marion,304,1.5949607634405612e-4
1970,Male,Quinn,161,8.446996148484551e-5
1970,Male,Harley,129,6.768090081705013e-5
1970,Male,Riley,78,4.092333537775124e-5
1970,Male,Peyton,23,1.206713735497793e-5
1971,Female,Kerry,2207,0.0012594472812602006
1971,Female,Jessie,359,2.0486704756339464e-4
1971,Female,Marion,359,2.0486704756339464e-4
1971,Female,Casey,317,1.8089931497937634e-4
1971,Female,Jaime,195,1.1127875842579932e-4
1971,Female,Quinn,23,1.3125186891248126e-5
1971,Female,Peyton,8,4.565282396955869e-6
1971,Female,Harley,5,2.8533014980974185e-6
1971,Male,Casey,1126,6.191473801707879e-4
1971,Male,Jaime,1032,5.674601210801537e-4
1971,Male,Kerry,880,4.838807234016815e-4
1971,Male,Jessie,759,4.173471239339503e-4
1971,Male,Marion,344,1.8915337369338457e-4
1971,Male,Quinn,148,8.137993984482825e-5
1971,Male,Harley,134,7.368183742707422e-5
1971,Male,Riley,96,5.278698800745616e-5
1971,Male,Peyton,29,1.594606929391905e-5
1972,Female,Kerry,1908,0.0011832382029662815
1972,Female,Casey,544,3.373593199233004e-4
1972,Female,Jessie,317,1.9658622135236437e-4
1972,Female,Marion,293,1.8170272194398347e-4
1972,Female,Jaime,167,1.0356435004998375e-4
1972,Female,Peyton,15,9.302187130238061e-6
1972,Female,Quinn,12,7.4417497041904496e-6
1972,Female,Harley,5,3.1007290434126874e-6
1972,Male,Casey,1190,7.104821188367916e-4
1972,Male,Jaime,1007,6.012231039232345e-4
1972,Male,Jessie,755,4.5076806699309043e-4
1972,Male,Kerry,735,4.3882719104625356e-4
1972,Male,Marion,299,1.7851609540521065e-4
1972,Male,Harley,135,8.060091264114862e-5
1972,Male,Quinn,119,7.104821188367916e-5
1972,Male,Riley,85,5.074872277405654e-5
1972,Male,Peyton,23,1.3732007338862357e-5
1973,Female,Kerry,1875,0.0012065551659544238
1973,Female,Casey,620,3.9896757487559615e-4
1973,Female,Jessie,352,2.2651062315517714e-4
1973,Female,Marion,267,1.7181345563190993e-4
1973,Female,Jaime,186,1.1969027246267883e-4
1973,Female,Peyton,13,8.365449150617337e-6
1973,Female,Riley,8,5.147968708072208e-6
1973,Male,Casey,1279,7.922595191932457e-4
1973,Male,Jaime,1064,6.590806320731927e-4
1973,Male,Jessie,754,4.6705525994660457e-4
1973,Male,Kerry,681,4.2183638199421445e-4
1973,Male,Marion,298,1.8459213191523627e-4
1973,Male,Quinn,136,8.424338906198703e-5
1973,Male,Harley,130,8.052676895631114e-5
1973,Male,Riley,90,5.574930158513847e-5
1973,Male,Peyton,34,2.1060847265496757e-5
1974,Female,Kerry,1730,0.0011046139661515632
1974,Female,Casey,822,5.248512602176792e-4
